step,wall_s,loss,lr,seed,imgs_per_s,plateau_gain_10_to_20,receptive_field_px,hide_px,blind_core_px,measurement_window_px,mask_ratio,censored_frac,n_cells_total,n_cells_labeled,frac_thing_cells,frac_excluded_cells,frac_acf_above_floor,frac_acf_above_floor_thing,frac_acf_above_floor_stuff,frac_null_above_floor,frac_ell_above_rf,frac_core_cells,mean_ell_thing,mean_ell_stuff,mean_acf_at_rf_thing,mean_acf_at_rf_stuff,mean_null_acf_at_rf_thing,mean_null_acf_at_rf_stuff,mean_r_thing,mean_r_stuff,n_diag_images,auc_acf_at_rf,auc_naive_acf_energy,auc_null_acf_at_rf,auc_ell_acf,auc_ell_freq,auc_residual_magnitude,auc_acf_at_rf_core,auc_acf_at_rf_ring,auc_acf_at_rf_stuck,auc_naive_stuck
50,22.04,0.24033260345458984,0.000153,0,327.0257369493915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,32.161,0.21841967105865479,0.000303,0,431.09447262698484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,42.238,0.21701452136039734,0.000453,0,482.79243063233497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,53.134,0.18581900000572205,0.000603,0,505.28189313830813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,63.481,0.1856204718351364,0.000753,0,524.4883893940556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,74.16,0.18461672961711884,0.000903,0,535.6355436076451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,84.604,0.19281809031963348,0.001053,0,545.4492231002242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,95.609,0.19787627458572388,0.001203,0,549.7154139389354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,105.82,0.23518326878547668,0.001353,0,557.3271261007026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,116.257,0.24324414134025574,0.0015,0,562.4542693041469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,127.326,0.20650829374790192,0.0014998974787443517,0,563.8475425867356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,137.675,0.1978759914636612,0.0014995899430056945,0,568.0230112604258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,148.013,0.20047564804553986,0.0014990774768612286,0,571.6496717162172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,158.236,0.18804368376731873,0.0014983602204140809,0,575.220398239542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,169.437,0.1900131106376648,0.0014974383697550025,0,574.9628222326097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,179.777,0.19563817977905273,0.0014963121769087586,0,577.5286922607495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,190.206,0.19185465574264526,0.0014949819497652287,0,579.5348428376022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,201.221,0.1846572756767273,0.0014934480519952313,0,579.6180267755716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,211.71,0.18188412487506866,0.0014917109029511013,0,581.1499270009458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,221.97,0.1874762773513794,0.0014897709775520418,0,583.141327169773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,232.502,0.1862121969461441,0.0014876288061542867,0,584.2660855171995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,243.258,0.19479185342788696,0.0014852849744061071,0,584.7465632188251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,253.604,0.19471682608127594,0.0014827401230876995,0,586.1409119546672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,264.107,0.18469849228858948,0.0014799949479360043,0,587.0725674567509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,275.085,0.18061047792434692,0.0014770501994544978,0,586.9077582871895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,285.427,0.1814270168542862,0.0014739066827080115,0,588.0739003335613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,295.641,0.18446117639541626,0.0014705652571026361,0,589.4165125924796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,305.944,0.19095107913017273,0.0014670268361507682,0,590.4953897261026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,316.875,0.17301808297634125,0.0014632923872213654,0,590.3204473005442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,327.171,0.18184545636177063,0.0014593629312754759,0,591.3117514826985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,337.326,0.1812049299478531,0.001455239542587121,0,592.4934138990603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,348.496,0.17883789539337158,0.0014509233484495956,0,591.8623650534834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,358.446,0.18376411497592926,0.0014464155288672804,0,593.2971485503072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,368.803,0.196810781955719,0.0014417173162330386,0,593.9951386693467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,379.301,0.1855146586894989,0.001436829994991293,0,594.4296426542422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,390.25,0.1791621297597885,0.0014317549012868719,0,594.1500966434337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,400.504,0.18158406019210815,0.0014264934225997194,0,594.9238793586981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,410.802,0.18438909947872162,0.0014210469973655725,0,595.5935707645465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,421.279,0.17145028710365295,0.001415417114582709,0,595.9747621892268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,432.097,,,,,0.028698247845903756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,432.104,0.17883950471878052,0.0014096053134048667,0,595.8549243413837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,442.452,0.1811753213405609,0.0014036131827204579,0,596.3871736200239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,452.899,0.1815040111541748,0.0013974423607181806,0,596.7642351608201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150,464.029,0.19507627189159393,0.0013910945344391542,0,596.240133653005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,474.259,0.18487456440925598,0.0013845714393157015,0,596.8769252270006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250,484.828,0.18057866394519806,0.0013778748586968964,0,597.0659319266025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,495.158,0.184259831905365,0.001371006623361015,0,597.538188230829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350,506.148,0.19333535432815552,0.0013639686110150195,0,597.2060767482054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,516.487,0.182643324136734,0.0013567627457812105,0,597.6454097161752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,526.901,0.1799687296152115,0.0013493909976711935,0,597.9814807880208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,537.807,0.18633723258972168,0.0013418553820472954,0,597.7538074087156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
