step,wall_s,loss,lr,seed,imgs_per_s,plateau_gain_10_to_20,receptive_field_px,measurement_window_px,mask_ratio,censored_frac,n_cells_total,n_cells_labeled,frac_thing_cells,frac_excluded_cells,frac_ell_above_rf,frac_ell_above_rf_thing,frac_ell_above_rf_stuff,mean_ell_thing,mean_ell_stuff,mean_acf_at_rf_thing,mean_acf_at_rf_stuff,n_diag_images,auc_acf_at_rf,auc_ell_acf,auc_ell_freq,auc_ell_acf_smooth,auc_naive_acf_energy,auc_residual_magnitude,auc_acf_at_rf_stuck,auc_naive_stuck
50,22.339,0.10274753719568253,0.000153,0,323.1336725299215,,,,,,,,,,,,,,,,,,,,,,,,,
100,33.34,0.08908180892467499,0.000303,0,415.4957879763585,,,,,,,,,,,,,,,,,,,,,,,,,
150,44.055,0.08851628005504608,0.000453,0,462.40675339809144,,,,,,,,,,,,,,,,,,,,,,,,,
200,55.447,0.07571066915988922,0.000603,0,483.80367466411457,,,,,,,,,,,,,,,,,,,,,,,,,
250,66.083,0.0695071592926979,0.000753,0,503.54108261161986,,,,,,,,,,,,,,,,,,,,,,,,,
300,77.01,0.07043426483869553,0.000903,0,515.5988865482633,,,,,,,,,,,,,,,,,,,,,,,,,
350,87.868,0.07933762669563293,0.001053,0,524.9941141538823,,,,,,,,,,,,,,,,,,,,,,,,,
400,99.314,0.06692010164260864,0.001203,0,529.0322073959212,,,,,,,,,,,,,,,,,,,,,,,,,
450,110.02,0.06817704439163208,0.001353,0,535.8797440620074,,,,,,,,,,,,,,,,,,,,,,,,,
500,121.202,0.06281432509422302,0.0015,0,539.3155138105834,,,,,,,,,,,,,,,,,,,,,,,,,
550,132.45,0.06356360763311386,0.0014998974787443517,0,541.883388517367,,,,,,,,,,,,,,,,,,,,,,,,,
600,143.392,0.06214487925171852,0.0014995899430056945,0,545.2267407979599,,,,,,,,,,,,,,,,,,,,,,,,,
650,154.156,0.06436560302972794,0.0014990774768612286,0,548.7301757722237,,,,,,,,,,,,,,,,,,,,,,,,,
700,165.09,0.05976693704724312,0.0014983602204140809,0,551.1916029289254,,,,,,,,,,,,,,,,,,,,,,,,,
750,176.472,0.058807723224163055,0.0014974383697550025,0,551.9185836320448,,,,,,,,,,,,,,,,,,,,,,,,,
800,187.13,0.06406506896018982,0.0014963121769087586,0,554.7213105475607,,,,,,,,,,,,,,,,,,,,,,,,,
850,198.263,0.05748245492577553,0.0014949819497652287,0,555.8678460500603,,,,,,,,,,,,,,,,,,,,,,,,,
900,209.786,0.05607433244585991,0.0014934480519952313,0,555.8442810292411,,,,,,,,,,,,,,,,,,,,,,,,,
950,220.632,0.05375174805521965,0.0014917109029511013,0,557.5444104868682,,,,,,,,,,,,,,,,,,,,,,,,,
1000,231.646,0.05752892419695854,0.0014897709775520418,0,558.6757656739978,,,,,,,,,,,,,,,,,,,,,,,,,
1050,242.667,0.05459568649530411,0.0014876288061542867,0,559.6872225929601,,,,,,,,,,,,,,,,,,,,,,,,,
1100,254.38,0.055698882788419724,0.0014852849744061071,0,559.0711120211846,,,,,,,,,,,,,,,,,,,,,,,,,
1150,265.442,0.05698070675134659,0.0014827401230876995,0,559.8910887423725,,,,,,,,,,,,,,,,,,,,,,,,,
1200,276.358,0.05737590789794922,0.0014799949479360043,0,560.9424287667782,,,,,,,,,,,,,,,,,,,,,,,,,
1250,287.879,0.05974810943007469,0.0014770501994544978,0,560.7225407647885,,,,,,,,,,,,,,,,,,,,,,,,,
1300,298.847,0.054315708577632904,0.0014739066827080115,0,561.5665211652338,,,,,,,,,,,,,,,,,,,,,,,,,
1350,309.959,0.05483556538820267,0.0014705652571026361,0,562.0862484991783,,,,,,,,,,,,,,,,,,,,,,,,,
1400,321.042,0.057639192789793015,0.0014670268361507682,0,562.6210852415456,,,,,,,,,,,,,,,,,,,,,,,,,
1450,332.485,0.0565381795167923,0.0014632923872213654,0,562.5063526782225,,,,,,,,,,,,,,,,,,,,,,,,,
1500,343.372,0.054010502994060516,0.0014593629312754759,0,563.3167610928509,,,,,,,,,,,,,,,,,,,,,,,,,
1550,354.131,0.05732161924242973,0.001455239542587121,0,564.2815516765512,,,,,,,,,,,,,,,,,,,,,,,,,
1600,365.851,0.05842377990484238,0.0014509233484495956,0,563.6945555886349,,,,,,,,,,,,,,,,,,,,,,,,,
1650,376.407,0.059345729649066925,0.0014464155288672804,0,564.8968947988294,,,,,,,,,,,,,,,,,,,,,,,,,
1700,387.793,0.05738922208547592,0.0014417173162330386,0,564.8139096880493,,,,,,,,,,,,,,,,,,,,,,,,,
1750,398.927,0.054389458149671555,0.001436829994991293,0,565.0941859133843,,,,,,,,,,,,,,,,,,,,,,,,,
1800,410.129,0.056096822023391724,0.0014317549012868719,0,565.2656875390799,,,,,,,,,,,,,,,,,,,,,,,,,
1850,420.846,0.052956849336624146,0.0014264934225997194,0,566.0836643970695,,,,,,,,,,,,,,,,,,,,,,,,,
1900,431.563,0.05450570210814476,0.0014210469973655725,0,566.860870115734,,,,,,,,,,,,,,,,,,,,,,,,,
1950,442.205,0.056556254625320435,0.001415417114582709,0,567.6956187192438,,,,,,,,,,,,,,,,,,,,,,,,,
2000,453.189,,,,,0.06226649522143602,,,,,,,,,,,,,,,,,,,,,,,,
2000,453.196,0.05429818853735924,0.0014096053134048667,0,568.0521070253701,,,,,,,,,,,,,,,,,,,,,,,,,
2050,463.691,0.052117809653282166,0.0014036131827204579,0,569.0023303741799,,,,,,,,,,,,,,,,,,,,,,,,,
2100,474.344,0.05495477467775345,0.0013974423607181806,0,569.7202415782705,,,,,,,,,,,,,,,,,,,,,,,,,
2150,485.969,0.0531219020485878,0.0013910945344391542,0,569.2591678600965,,,,,,,,,,,,,,,,,,,,,,,,,
2200,496.281,0.056126393377780914,0.0013845714393157015,0,570.3313014074046,,,,,,,,,,,,,,,,,,,,,,,,,
2250,506.852,0.057297203689813614,0.0013778748586968964,0,571.0676710496163,,,,,,,,,,,,,,,,,,,,,,,,,
2300,517.416,0.055252619087696075,0.001371006623361015,0,571.7811897951092,,,,,,,,,,,,,,,,,,,,,,,,,
2350,528.666,0.05653848499059677,0.0013639686110150195,0,571.7183944902828,,,,,,,,,,,,,,,,,,,,,,,,,
2400,539.317,0.05371851101517677,0.0013567627457812105,0,572.2970636037988,,,,,,,,,,,,,,,,,,,,,,,,,
2450,549.825,0.054268620908260345,0.0013493909976711935,0,573.0034780484425,,,,,,,,,,,,,,,,,,,,,,,,,
2500,561.023,0.0564175546169281,0.0013418553820472954,0,572.9735257950489,,,,,,,,,,,,,,,,,,,,,,,,,
2550,571.741,0.0539124459028244,0.0013341579590715844,0,573.4283810246428,,,,,,,,,,,,,,,,,,,,,,,,,
2600,582.273,0.045279618352651596,0.0013263008331426444,0,574.0505700136807,,,,,,,,,,,,,,,,,,,,,,,,,
2650,592.692,0.055096451193094254,0.0013182861523202511,0,574.7604557732861,,,,,,,,,,,,,,,,,,,,,,,,,
2700,603.81,0.05036712437868118,0.0013101161077381154,0,574.7771292381168,,,,,,,,,,,,,,,,,,,,,,,,,
2750,614.099,0.05455121397972107,0.0013017929330048487,0,575.5717364532253,,,,,,,,,,,,,,,,,,,,,,,,,
2800,624.762,0.056498315185308456,0.0012933189035933168,0,575.994130466873,,,,,,,,,,,,,,,,,,,,,,,,,
2850,635.928,0.05738244950771332,0.001284696336218548,0,575.9438664184412,,,,,,,,,,,,,,,,,,,,,,,,,
2900,646.504,0.05622333288192749,0.0012759275882043663,0,576.423800323287,,,,,,,,,,,,,,,,,,,,,,,,,
2950,657.023,0.055944979190826416,0.0012670150568389244,0,576.9379259561465,,,,,,,,,,,,,,,,,,,,,,,,,
